Task,Trial,Problem,Operation_answer,next_level.thisRepN,next_level.thisTrialN,next_level.thisN,next_level.thisIndex,next_letter.thisRepN,next_letter.thisTrialN,next_letter.thisN,next_letter.thisIndex,repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,span_recall_prac.thisRepN,span_recall_prac.thisTrialN,span_recall_prac.thisN,span_recall_prac.thisIndex,span_size_prac.thisRepN,span_size_prac.thisTrialN,span_size_prac.thisN,span_size_prac.thisIndex,repeat_if_wrong_prac.thisRepN,repeat_if_wrong_prac.thisTrialN,repeat_if_wrong_prac.thisN,repeat_if_wrong_prac.thisIndex,span_recall.thisRepN,span_recall.thisTrialN,span_recall.thisN,span_recall.thisIndex,span_size.thisRepN,span_size.thisTrialN,span_size.thisN,span_size.thisIndex,repeat_if_wrong.thisRepN,repeat_if_wrong.thisTrialN,repeat_if_wrong.thisN,repeat_if_wrong.thisIndex,instructions_2.started,instructions_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,simple_recall,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_feedback.started,text_feedback.stopped,simple_recall_corr,simple_recall_corrkeys,instructions_3.started,instructions_3.stopped,instructions.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,digit_answer,operation.started,operation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,operation_feedback.started,operation_feedback.stopped,RT_list,instructions_8.started,instructions_8.stopped,feedback_msg.started,feedback_msg.stopped,processing_score,sumRT,meanRT,sumdiff,sd,RT,feedback_msg_2.started,feedback_msg_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,instructions_4.started,instructions_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,operation_3.started,operation_3.stopped,key_resp_11.keys,key_resp_11.corr,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,operation_feedback_2.started,operation_feedback_2.stopped,instructions_9.started,instructions_9.stopped,operation_correct,feedback_msg_4.started,feedback_msg_4.stopped,operation_4.started,operation_4.stopped,text_3.started,text_3.stopped,complex_recall_prac,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,text_feedback_3.started,text_feedback_3.stopped,instructions_6.started,instructions_6.stopped,complex_prac_corr,feedback_msg_3.started,feedback_msg_3.stopped,instructions_7.started,instructions_7.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,operation_2.started,operation_2.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,operation_feedback_3.started,operation_feedback_3.stopped,instructions_10.started,instructions_10.stopped,feedback_msg_5.started,feedback_msg_5.stopped,operation_5.started,operation_5.stopped,text.started,text.stopped,complex_recall,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_feedback_2.started,text_feedback_2.stopped,complex_recall_corr,complex_recall_corrkeys,instructions_5.started,instructions_5.stopped,finish.started,finish.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.started,key_resp_12.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,10,0,10,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.5272098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
,,,,10,0,10,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.8259157,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
,,,,10,0,10,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.1248039,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
,,,,10,0,10,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.4234777,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
,,,,10,0,10,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.721683,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
,,,,11,0,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.2647287,None,lhxqjz,"['l', 'h', 'x', 'q', 'j', 'z']","[0.8605097000254318, 1.4494243999943137, 2.924651699955575, 4.055136000039056, 4.621565200039186, 5.13139770005364, 5.693909900030121]",147.0207948,None,147.0207948,None,0,LHKXQJZ,147.0207948,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
,,,,11,0,11,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.579924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
,,,,11,0,11,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.8787909,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
,,,,11,0,11,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.1774392,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
,,,,11,0,11,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.4762128,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
,,,,11,0,11,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.7746121,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
,,,,11,0,11,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.0735981,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
,,,,12,0,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.3331548,None,vrkjxs,"['v', 'r', 'k', 'j', 'x', 's']","[1.3861854000715539, 2.0801549999741837, 3.648356399964541, 4.128231700044125, 4.52433160005603, 5.011495099985041, 5.404009800055064]",162.3724113,None,162.3724113,None,0,VRKJXSL,162.3724113,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
,,,,12,0,12,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.6483808,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
,,,,12,0,12,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.9472699,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
,,,,12,0,12,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.2458137,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
,,,,12,0,12,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.5446571,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
,,,,12,0,12,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.8434172,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
,,,,12,0,12,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.1421329,175.6256388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vjskrz,"['v', 'j', 's', 'k', 'r', 'z']","[1.930374599993229, 2.5300746000139043, 5.327430699951947, 5.863247600034811, 6.241569999954663, 6.736812199931592, 7.193708500009961]",177.4409604,None,177.4409604,None,0,VJZRKHX,177.4409604,None,185.2001437,None,space,5.2112696,185.2001437,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
Practice,9,(4/2) + 5,7,,,,,,,,,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,191.0607208,None,['7'],0,[2.3867616000352427],191.0607208,None,191.0607208,None,[2.3867616000352427],191.0607208,None,193.9913844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
Practice,7,(4x6) - 17,7,,,,,,,,,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,195.5062216,None,['7'],0,[11.076642100000754],195.5062216,None,195.5062216,None,"[2.3867616000352427, 11.076642100000754]",195.5062216,None,207.1280408,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
Practice,4,(4x4) - 14,2,,,,,,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,208.6266532,None,['2'],0,[2.373790099984035],208.6266532,None,208.6266532,None,"[2.3867616000352427, 11.076642100000754, 2.373790099984035]",208.6266532,None,211.5408389,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
Practice,6,(2x6) - 8,4,,,,,,,,,0,0,0,0,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,213.0395989,None,['8'],0,[1.711826500017196],213.0395989,None,213.0395989,None,"[2.3867616000352427, 11.076642100000754, 2.373790099984035, 1.711826500017196]",213.0395989,None,215.2869139,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
Practice,8,(3/3) + 5,6,,,,,,,,,0,0,0,0,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216.7856049,None,['6'],0,[3.937675500055775],216.7856049,None,216.7856049,None,"[2.3867616000352427, 11.076642100000754, 2.373790099984035, 1.711826500017196, 3.937675500055775]",216.7856049,None,221.2645052,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
Practice,1,(1x2) + 1,3,,,,,,,,,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,222.7627323,None,['3'],0,[1.5987601999659091],222.7627323,None,222.7627323,None,"[2.3867616000352427, 11.076642100000754, 2.373790099984035, 1.711826500017196, 3.937675500055775, 1.5987601999659091]",222.7627323,None,224.8942817,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
Practice,10,(8/4) + 3,5,,,,,,,,,0,0,0,0,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,226.3928285,None,['5'],0,[1.924766100011766],226.3928285,None,226.3928285,None,"[2.3867616000352427, 11.076642100000754, 2.373790099984035, 1.711826500017196, 3.937675500055775, 1.5987601999659091, 1.924766100011766]",226.3928285,None,228.8571188,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
Practice,15,(9/3) - 2,1,,,,,,,,,0,0,0,0,0,7,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,230.3552488,None,['1'],0,[1.4988490999676287],230.3552488,None,230.3552488,None,"[2.3867616000352427, 11.076642100000754, 2.373790099984035, 1.711826500017196, 3.937675500055775, 1.5987601999659091, 1.924766100011766, 1.4988490999676287]",230.3552488,None,232.3871604,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
Practice,2,(1/1) - 1,0,,,,,,,,,0,0,0,0,0,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,233.8856754,None,['0'],0,[1.931581599987112],233.8856754,None,233.8856754,None,"[2.3867616000352427, 11.076642100000754, 2.373790099984035, 1.711826500017196, 3.937675500055775, 1.5987601999659091, 1.924766100011766, 1.4988490999676287, 1.931581599987112]",233.8856754,None,236.349832,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
Practice,13,(3x8) - 19 ,5,,,,,,,,,0,0,0,0,0,9,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,237.8482544,None,['5'],0,[3.760837099980563],237.8482544,None,237.8482544,None,"[2.3867616000352427, 11.076642100000754, 2.373790099984035, 1.711826500017196, 3.937675500055775, 1.5987601999659091, 1.924766100011766, 1.4988490999676287, 1.931581599987112, 3.760837099980563]",237.8482544,None,242.1442607,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
Practice,14,(6/3) + 4 ,6,,,,,,,,,0,0,0,0,0,10,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,243.6427153,None,['6'],0,[2.7728658000705764],243.6427153,None,243.6427153,None,"[2.3867616000352427, 11.076642100000754, 2.373790099984035, 1.711826500017196, 3.937675500055775, 1.5987601999659091, 1.924766100011766, 1.4988490999676287, 1.931581599987112, 3.760837099980563, 2.7728658000705764]",243.6427153,None,246.9559613,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
Practice,5,(3/3) + 2,3,,,,,,,,,0,0,0,0,0,11,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,248.4546022,None,['3'],0,[1.7834090000251308],248.4546022,None,248.4546022,None,"[2.3867616000352427, 11.076642100000754, 2.373790099984035, 1.711826500017196, 3.937675500055775, 1.5987601999659091, 1.924766100011766, 1.4988490999676287, 1.931581599987112, 3.760837099980563, 2.7728658000705764, 1.7834090000251308]",248.4546022,None,250.785941,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
Practice,12,(8/2) + 4,8,,,,,,,,,0,0,0,0,0,12,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,252.2842468,None,['8'],0,[2.439700399991125],252.2842468,None,252.2842468,None,"[2.3867616000352427, 11.076642100000754, 2.373790099984035, 1.711826500017196, 3.937675500055775, 1.5987601999659091, 1.924766100011766, 1.4988490999676287, 1.931581599987112, 3.760837099980563, 2.7728658000705764, 1.7834090000251308, 2.439700399991125]",252.2842468,None,255.2642209,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
Practice,11,(5x3) - 7,8,,,,,,,,,0,0,0,0,0,13,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,256.7632285,None,['8'],0,[2.817879799986258],256.7632285,None,256.7632285,None,"[2.3867616000352427, 11.076642100000754, 2.373790099984035, 1.711826500017196, 3.937675500055775, 1.5987601999659091, 1.924766100011766, 1.4988490999676287, 1.931581599987112, 3.760837099980563, 2.7728658000705764, 1.7834090000251308, 2.439700399991125, 2.817879799986258]",256.7632285,None,260.1263877,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
Practice,3,(7x2) - 5,9,,,,,,,,,0,0,0,0,0,14,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,261.625167,None,['9'],0,[1.9246117000002414],261.625167,None,261.625167,None,"[2.3867616000352427, 11.076642100000754, 2.373790099984035, 1.711826500017196, 3.937675500055775, 1.5987601999659091, 1.924766100011766, 1.4988490999676287, 1.931581599987112, 3.760837099980563, 2.7728658000705764, 1.7834090000251308, 2.439700399991125, 2.817879799986258, 1.9246117000002414]",261.625167,None,264.0889442,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.933333333,43.9399566,2.92933044,78.59275422,2.288999115,8.834948156,265.5883158,None,space,3.3978498,265.5883158,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.5509045,None,space,12.5543648,269.5509045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
Practice,6,(2x6) - 8,4,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.6715575,None,['4'],0,[2.510983500047587],282.6715575,None,282.6715575,None,282.6715575,None,1,285.2798037,None,285.2798037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.6171327,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
Practice,11,(5x3) - 7,8,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.915978,None,['9'],0,[6.454586199950427],287.915978,None,287.915978,None,287.915978,None,0,294.4674506,None,294.4674506,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
Practice,15,(9/3) - 2,1,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,1,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.8081661,None,['1'],0,[5.254772400017828],295.8081661,None,295.8081661,None,295.8081661,None,1,301.1278708,None,301.1278708,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.4514735,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xt,"['x', 't']",0,"[1.5312568000517786, 1.7434038000646979, 2.3471206000540406]",303.7499639,None,303.7499639,None,303.7499639,None,1,306.6471961,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1,2019_Nov_12_1124,test_final,3.1.5,60.01925418
